Bauer BSM-WS36A-H01-1311-0000 Modbus Register Overview


Model Instance: Common
Model: Common
Description: All SunSpec compliant devices must include this as the first model
Notes: 

Field Type,Applicable Point,Address,Address Offset,Size,Name,Label,Value,Type,Units,Scale Factor,Access,Mandatory,Description,Notes
header,,40002,0,1,ID,Model ID,1,uint16,,,r,true,,
header,,40003,1,1,L,Model Payload Length,66,uint16,,,r,true,,

fixed,,40004,2,16,Mn,Manufacturer,,string,,,r,true,Well known value registered with SunSpec for compliance,
fixed,,40020,18,16,Md,Model,,string,,,r,true,Manufacturer specific value (32 chars),
fixed,,40036,34,8,Opt,Options,,string,,,r,false,Manufacturer specific value (16 chars),
fixed,,40044,42,8,Vr,Version,,string,,,r,false,Manufacturer specific value (16 chars),
fixed,,40052,50,16,SN,Serial Number,,string,,,r,true,Manufacturer specific value (32 chars),
fixed,,40068,66,1,DA,Device Address,0,uint16,,,rw,false,Modbus device address,
fixed,,40069,67,1,Pad,,0,pad,,,r,false,Force even alignment,


Model Instance: Serial Interface Header
Model: Communication Interface Header
Description: To be included first for a complete interface description
Notes: 

Field Type,Applicable Point,Address,Address Offset,Size,Name,Label,Value,Type,Units,Scale Factor,Access,Mandatory,Description,Notes
header,,40070,0,1,ID,Model ID,10,uint16,,,r,true,,
header,,40071,1,1,L,Model Payload Length,4,uint16,,,r,true,,

fixed,,40072,2,1,St,Interface Status,0,enum16,,,r,true,Overall interface status,
fixed,,40073,3,1,Ctl,Interface Control,0,uint16,,,rw,false,Overall interface control (TBD),
fixed,,40074,4,1,Typ,Physical Access Type,0,enum16,,,r,false,Enumerated value. Type of physical media,
fixed,,40075,5,1,Pad,,0,pad,,,r,false,,

enum16,St,,,,DOWN,down,0,,,,,,Interface is down,
enum16,St,,,,UP,up,1,,,,,,Interface is up,
enum16,St,,,,FAULT,fault,2,,,,,,Interface is in a fault state,

enum16,Typ,,,,UNKNOWN,unknown,0,,,,,,Unknown media,
enum16,Typ,,,,INTERNAL,internal,1,,,,,,Internal e.g. embedded switch,
enum16,Typ,,,,TWISTED_PAIR,twisted pair,2,,,,,,Twisted Pair,
enum16,Typ,,,,FIBER,fiber,3,,,,,,Fiber,
enum16,Typ,,,,WIRELESS,,4,,,,,,,
enum16,Typ,,,,,wifi,,,,,,,WIFI,


Model Instance: Serial Interface
Model: Serial Interface
Description: Include this model for serial interface configuration support
Notes: 

Field Type,Applicable Point,Address,Address Offset,Size,Name,Label,Value,Type,Units,Scale Factor,Access,Mandatory,Description,Notes
header,,40076,0,1,ID,Model ID,17,uint16,,,r,true,,
header,,40077,1,1,L,Model Payload Length,12,uint16,,,r,true,,

fixed,,40078,2,4,Nam,Name,,string,,,rw,false,Interface name (8 chars),
fixed,,40082,6,2,Rte,Rate,0,uint32,bps,,rw,true,Interface baud rate in bits per second,
fixed,,40084,8,1,Bits,Bits,0,uint16,,,rw,true,Number of data bits per character,
fixed,,40085,9,1,Pty,Parity,0,enum16,,,rw,true,Bitmask value. Parity setting,
fixed,,40086,10,1,Dup,Duplex,0,enum16,,,rw,false,Enumerated value. Duplex mode,
fixed,,40087,11,1,Flw,Flow Control,0,enum16,,,rw,false,Flow Control Method,
fixed,,40088,12,1,Typ,Interface Type,0,enum16,,,r,false,Enumerated value. Interface type,
fixed,,40089,13,1,Pcol,Protocol,0,enum16,,,r,false,Enumerated value. Serial protocol selection,

enum16,Pty,,,,NONE,none,0,,,,,,No Parity,
enum16,Pty,,,,ODD,odd,1,,,,,,Odd Parity,
enum16,Pty,,,,EVEN,even,2,,,,,,Even Parity,

enum16,Dup,,,,FULL,full,0,,,,,,Full Duplex,
enum16,Dup,,,,HALF,half,1,,,,,,Half Duplex,

enum16,Flw,,,,NONE,none,0,,,,,,No flow control,
enum16,Flw,,,,HW,hardware,1,,,,,,Hardware flow control,
enum16,Flw,,,,XONXOFF,software,2,,,,,,Soft (XON/XOFF) flow control,

enum16,Typ,,,,UNKNOWN,unknown,0,,,,,,Unknown interface type,
enum16,Typ,,,,RS232,RS232,1,,,,,,RS232 interface type,
enum16,Typ,,,,RS485,RS485,2,,,,,,RS485 interface type,

enum16,Pcol,,,,UNKNOWN,unknown,0,,,,,,Unknown protocol,
enum16,Pcol,,,,MODBUS,Modbus,1,,,,,,Modbus protocol,
enum16,Pcol,,,,VENDOR,vendor specific,2,,,,,,,


Model Instance: AC Meter
Model: wye-connect three phase (abcn) meter
Description: 
Notes: 

Field Type,Applicable Point,Address,Address Offset,Size,Name,Label,Value,Type,Units,Scale Factor,Access,Mandatory,Description,Notes
header,,40090,0,1,ID,Model ID,203,uint16,,,r,true,,
header,,40091,1,1,L,Model Payload Length,105,uint16,,,r,true,,

fixed,,40092,2,1,A,Amps,0,int16,A,A_SF,r,true,Total AC Current,
fixed,,40093,3,1,AphA,Amps PhaseA,0,int16,A,A_SF,r,true,Phase A Current,
fixed,,40094,4,1,AphB,Amps PhaseB,0,int16,A,A_SF,r,true,Phase B Current,
fixed,,40095,5,1,AphC,Amps PhaseC,0,int16,A,A_SF,r,true,Phase C Current,
fixed,,40096,6,1,A_SF,,0,sunssf,,,r,true,Current scale factor,
fixed,,40097,7,1,PhV,Voltage LN,0,int16,V,V_SF,r,true,Line to Neutral AC Voltage (average of active phases),
fixed,,40098,8,1,PhVphA,Phase Voltage AN,0,int16,V,V_SF,r,true,Phase Voltage AN,
fixed,,40099,9,1,PhVphB,Phase Voltage BN,0,int16,V,V_SF,r,true,Phase Voltage BN,
fixed,,40100,10,1,PhVphC,Phase Voltage CN,0,int16,V,V_SF,r,true,Phase Voltage CN,
fixed,,40101,11,1,PPV,Voltage LL,0,int16,V,V_SF,r,true,Line to Line AC Voltage (average of active phases),
fixed,,40102,12,1,PhVphAB,Phase Voltage AB,0,int16,V,V_SF,r,true,Phase Voltage AB,
fixed,,40103,13,1,PhVphBC,Phase Voltage BC,0,int16,V,V_SF,r,true,Phase Voltage BC,
fixed,,40104,14,1,PhVphCA,Phase Voltage CA,0,int16,V,V_SF,r,true,Phase Voltage CA,
fixed,,40105,15,1,V_SF,,0,sunssf,,,r,true,Voltage scale factor,
fixed,,40106,16,1,Hz,Hz,0,int16,Hz,Hz_SF,r,true,Frequency,
fixed,,40107,17,1,Hz_SF,,0,sunssf,,,r,false,Frequency scale factor,
fixed,,40108,18,1,W,Watts,0,int16,W,W_SF,r,true,Total Real Power,
